══════════════════════════════════════════════════════════════════════════════════════════
  SIMULACIÓN SO  –  2026/07/06 08:00:16
══════════════════════════════════════════════════════════════════════════════════════════
PROCESO              CUANTUM    ESTADO                 TRANSICIÓN             PRIORIDAD  RECURSO         MEMORIA   
13                   2          Ejecución              Bloqueado              6          Impresora       128 Kb    
9                    6          Suspendido-bloqueado   Suspendido-bloqueado   4          —               73 Kb     
9                    6          Suspendido-bloqueado   Bloqueado              4          —               73 Kb     
14                   10         Ejecución              Bloqueado              1          Impresora       99 Kb     
12                   4          Listo                  Despachado             6          —               108 Kb    
15                   8          Listo                  Despachado             4          —               155 Kb    
13                   2          Bloqueado              Bloqueado              6          —               128 Kb    
13                   2          Bloqueado              Bloqueado              6          —               128 Kb    
13                   2          Bloqueado              Bloqueado              6          —               128 Kb    
13                   2          Bloqueado              Bloqueado              6          —               128 Kb    
10                   10         Suspendido-bloqueado   Suspendido-bloqueado   3          —               137 Kb    
10                   10         Suspendido-bloqueado   Bloqueado              3          —               137 Kb    
13                   2          Bloqueado              Bloqueado              6          —               128 Kb    
13                   2          Bloqueado              Bloqueado              6          —               128 Kb    
13                   2          Bloqueado              Bloqueado              6          —               128 Kb    
13                   2          Bloqueado              Bloqueado              6          —               128 Kb    
13                   2          Bloqueado              Bloqueado              6          —               128 Kb    
13                   2          Bloqueado              Bloqueado              6          —               128 Kb    
13                   2          Bloqueado              Bloqueado              6          —               128 Kb    
13                   2          Bloqueado              Bloqueado              6          —               128 Kb    
13                   2          Bloqueado              Bloqueado              6          —               128 Kb    
13                   2          Bloqueado              Bloqueado              6          —               128 Kb    
13                   2          Bloqueado              Bloqueado              6          —               128 Kb    
13                   2          Bloqueado              Bloqueado              6          —               128 Kb    
13                   2          Bloqueado              Bloqueado              6          —               128 Kb    
13                   2          Bloqueado              Suspendido-bloqueado   6          —               128 Kb    
11                   3          Listo                  Despachado             4          —               158 Kb    
14                   10         Bloqueado              Bloqueado              1          —               99 Kb     
14                   10         Bloqueado              Suspendido-bloqueado   1          —               99 Kb     
12                   0          Ejecución              Terminado              6          —               108 Kb    
15                   3          Ejecución              Vuelve a cola          4          Op. matemática  155 Kb    
16                   12         Listo                  Despachado             8          —               84 Kb     
9                    6          Bloqueado              Bloqueado              4          —               73 Kb     
9                    6          Bloqueado              Bloqueado              4          —               73 Kb     
9                    6          Bloqueado              Bloqueado              4          —               73 Kb     
9                    6          Bloqueado              Despertar              4          —               73 Kb     
11                   0          Ejecución              Terminado              4          —               158 Kb    
12                   0          Ejecución              Terminado              6          —               108 Kb    
10                   10         Bloqueado              Bloqueado              3          —               137 Kb    
10                   10         Bloqueado              Bloqueado              3          —               137 Kb    
10                   10         Bloqueado              Bloqueado              3          —               137 Kb    
10                   10         Bloqueado              Suspendido-bloqueado   3          —               137 Kb    
13                   2          Suspendido-bloqueado   Suspendido-bloqueado   6          —               128 Kb    
13                   2          Suspendido-bloqueado   Bloqueado              6          —               128 Kb    
16                   7          Ejecución              Vuelve a cola          8          Op. matemática  84 Kb     
15                   3          Listo                  Despachado             4          —               155 Kb    
17                   7          Listo                  Despachado             6          —               87 Kb     
14                   10         Suspendido-bloqueado   Suspendido-bloqueado   1          —               99 Kb     
14                   10         Suspendido-bloqueado   Suspendido-listo       1          —               99 Kb     
11                   0          Ejecución              Terminado              4          —               158 Kb    
9                    6          Listo                  Despachado             4          —               73 Kb     
15                   0          Ejecución              Terminado              4          —               155 Kb    
17                   2          Ejecución              Vuelve a cola          6          Op. matemática  87 Kb     
14                   10         Suspendido-Listo       Formado                1          —               99 Kb     
16                   7          Listo                  Despachado             8          —               84 Kb     
10                   10         Suspendido-bloqueado   Suspendido-bloqueado   3          —               137 Kb    
10                   10         Suspendido-bloqueado   Suspendido-listo       3          —               137 Kb    
13                   2          Bloqueado              Bloqueado              6          —               128 Kb    
13                   2          Bloqueado              Bloqueado              6          —               128 Kb    
13                   2          Bloqueado              Bloqueado              6          —               128 Kb    
13                   2          Bloqueado              Despertar              6          —               128 Kb    
9                    1          Ejecución              Bloqueado              4          Teclado         73 Kb     
15                   0          Ejecución              Terminado              4          —               155 Kb    
16                   2          Ejecución              Bloqueado              8          Teclado         84 Kb     
10                   10         Suspendido-Listo       Formado                3          —               137 Kb    
9                    1          Bloqueado              Bloqueado              4          —               73 Kb     
9                    1          Bloqueado              Bloqueado              4          —               73 Kb     
9                    1          Bloqueado              Bloqueado              4          —               73 Kb     
9                    1          Bloqueado              Despertar              4          —               73 Kb     
13                   2          Listo                  Despachado             6          —               128 Kb    
16                   2          Bloqueado              Bloqueado              8          —               84 Kb     
16                   2          Bloqueado              Bloqueado              8          —               84 Kb     
16                   2          Bloqueado              Bloqueado              8          —               84 Kb     
16                   2          Bloqueado              Bloqueado              8          —               84 Kb     
16                   2          Bloqueado              Bloqueado              8          —               84 Kb     
16                   2          Bloqueado              Suspendido-bloqueado   8          —               84 Kb     
14                   10         Listo                  Despachado             1          —               99 Kb     
13                   0          Ejecución              Terminado              6          —               128 Kb    
14                   5          Ejecución              Bloqueado              1          Bocinas         99 Kb     
9                    1          Listo                  Despachado             4          —               73 Kb     
10                   10         Listo                  Despachado             3          —               137 Kb    
17                   2          Listo                  Despachado             6          —               87 Kb     
18                   13         Listo                  Despachado             9          —               158 Kb    
16                   2          Suspendido-bloqueado   Suspendido-bloqueado   8          —               84 Kb     
16                   2          Suspendido-bloqueado   Suspendido-listo       8          —               84 Kb     
13                   0          Ejecución              Terminado              6          —               128 Kb    
14                   5          Bloqueado              Bloqueado              1          —               99 Kb     
14                   5          Bloqueado              Suspendido-bloqueado   1          —               99 Kb     
9                    0          Ejecución              Terminado              4          —               73 Kb     
10                   5          Ejecución              Vuelve a cola          3          Op. matemática  137 Kb    
19                   5          Listo                  Despachado             7          —               112 Kb    
17                   0          Ejecución              Terminado              6          —               87 Kb     
18                   8          Ejecución              Vuelve a cola          9          Op. matemática  158 Kb    
16                   2          Suspendido-Listo       Formado                8          —               84 Kb     
20                   5          Listo                  Despachado             9          —               61 Kb     
9                    0          Ejecución              Terminado              4          —               73 Kb     
19                   0          Ejecución              Terminado              7          —               112 Kb    
17                   0          Ejecución              Terminado              6          —               87 Kb     
10                   5          Listo                  Despachado             3          —               137 Kb    
14                   5          Suspendido-bloqueado   Suspendido-bloqueado   1          —               99 Kb     
14                   5          Suspendido-bloqueado   Suspendido-listo       1          —               99 Kb     
20                   0          Ejecución              Terminado              9          —               61 Kb     
19                   0          Ejecución              Terminado              7          —               112 Kb    
16                   2          Listo                  Despachado             8          —               84 Kb     
10                   0          Ejecución              Terminado              3          —               137 Kb    
14                   5          Suspendido-Listo       Formado                1          —               99 Kb     
20                   0          Ejecución              Terminado              9          —               61 Kb     
18                   8          Listo                  Despachado             9          —               158 Kb    
16                   0          Ejecución              Terminado              8          —               84 Kb     
21                   14         Listo                  Despachado             4          —               88 Kb     
10                   0          Ejecución              Terminado              3          —               137 Kb    
18                   3          Ejecución              Vuelve a cola          9          Op. matemática  158 Kb    
21                   9          Ejecución              Bloqueado              4          Monitor         88 Kb     
16                   0          Ejecución              Terminado              8          —               84 Kb     
14                   5          Listo                  Despachado             1          —               99 Kb     
22                   10         Listo                  Despachado             2          —               119 Kb    
14                   0          Ejecución              Terminado              1          —               99 Kb     
21                   9          Bloqueado              Bloqueado              4          —               88 Kb     
21                   9          Bloqueado              Bloqueado              4          —               88 Kb     
21                   9          Bloqueado              Bloqueado              4          —               88 Kb     
21                   9          Bloqueado              Suspendido-bloqueado   4          —               88 Kb     
18                   3          Listo                  Despachado             9          —               158 Kb    
22                   5          Ejecución              Vuelve a cola          2          Op. matemática  119 Kb    
23                   2          Listo                  Despachado             3          —               92 Kb     
18                   0          Ejecución              Terminado              9          —               158 Kb    
14                   0          Ejecución              Terminado              1          —               99 Kb     
23                   0          Ejecución              Terminado              3          —               92 Kb     
22                   5          Listo                  Despachado             2          —               119 Kb    
24                   7          Listo                  Despachado             8          —               86 Kb     
21                   9          Suspendido-bloqueado   Suspendido-bloqueado   4          —               88 Kb     
21                   9          Suspendido-bloqueado   Suspendido-listo       4          —               88 Kb     
18                   0          Ejecución              Terminado              9          —               158 Kb    
25                   2          Listo                  Despachado             2          —               153 Kb    
23                   0          Ejecución              Terminado              3          —               92 Kb     
22                   0          Ejecución              Terminado              2          —               119 Kb    
24                   2          Ejecución              Vuelve a cola          8          Op. matemática  86 Kb     
21                   9          Suspendido-Listo       Formado                4          —               88 Kb     
26                   15         Listo                  Despachado             1          —               132 Kb    
25                   0          Ejecución              Terminado              2          —               153 Kb    
22                   0          Ejecución              Terminado              2          —               119 Kb    
26                   10         Ejecución              Bloqueado              1          Monitor         132 Kb    
25                   0          Ejecución              Terminado              2          —               153 Kb    
21                   9          Listo                  Despachado             4          —               88 Kb     
24                   2          Listo                  Despachado             8          —               86 Kb     
27                   15         Listo                  Despachado             8          —               119 Kb    
26                   10         Bloqueado              Bloqueado              1          —               132 Kb    
26                   10         Bloqueado              Suspendido-bloqueado   1          —               132 Kb    
21                   4          Ejecución              Bloqueado              4          Ratón           88 Kb     
28                   11         Listo                  Despachado             5          —               117 Kb    
24                   0          Ejecución              Terminado              8          —               86 Kb     
27                   10         Ejecución              Bloqueado              8          Monitor         119 Kb    
29                   10         Listo                  Despachado             10         —               161 Kb    
21                   4          Bloqueado              Bloqueado              4          —               88 Kb     
21                   4          Bloqueado              Bloqueado              4          —               88 Kb     
21                   4          Bloqueado              Bloqueado              4          —               88 Kb     
21                   4          Bloqueado              Bloqueado              4          —               88 Kb     
21                   4          Bloqueado              Bloqueado              4          —               88 Kb     
21                   4          Bloqueado              Bloqueado              4          —               88 Kb     
21                   4          Bloqueado              Bloqueado              4          —               88 Kb     
21                   4          Bloqueado              Bloqueado              4          —               88 Kb     
21                   4          Bloqueado              Bloqueado              4          —               88 Kb     
21                   4          Bloqueado              Bloqueado              4          —               88 Kb     
21                   4          Bloqueado              Bloqueado              4          —               88 Kb     
21                   4          Bloqueado              Bloqueado              4          —               88 Kb     
28                   6          Ejecución              Vuelve a cola          5          Op. matemática  117 Kb    
21                   4          Bloqueado              Bloqueado              4          —               88 Kb     
21                   4          Bloqueado              Suspendido-bloqueado   4          —               88 Kb     
24                   0          Ejecución              Terminado              8          —               86 Kb     
30                   11         Listo                  Despachado             9          —               71 Kb     
27                   10         Bloqueado              Bloqueado              8          —               119 Kb    
27                   10         Bloqueado              Bloqueado              8          —               119 Kb    
26                   10         Suspendido-bloqueado   Suspendido-bloqueado   1          —               132 Kb    
26                   10         Suspendido-bloqueado   Suspendido-listo       1          —               132 Kb    
27                   10         Bloqueado              Bloqueado              8          —               119 Kb    
27                   10         Bloqueado              Bloqueado              8          —               119 Kb    
27                   10         Bloqueado              Bloqueado              8          —               119 Kb    
27                   10         Bloqueado              Suspendido-bloqueado   8          —               119 Kb    
29                   5          Ejecución              Vuelve a cola          10         Op. matemática  161 Kb    
30                   6          Ejecución              Vuelve a cola          9          Op. matemática  71 Kb     
26                   10         Suspendido-Listo       Formado                1          —               132 Kb    
28                   6          Listo                  Despachado             5          —               117 Kb    
21                   4          Suspendido-bloqueado   Suspendido-bloqueado   4          —               88 Kb     
21                   4          Suspendido-bloqueado   Bloqueado              4          —               88 Kb     
29                   5          Listo                  Despachado             10         —               161 Kb    
27                   10         Suspendido-bloqueado   Suspendido-bloqueado   8          —               119 Kb    
27                   10         Suspendido-bloqueado   Bloqueado              8          —               119 Kb    
28                   1          Ejecución              Bloqueado              5          Teclado         117 Kb    
26                   10         Listo                  Despachado             1          —               132 Kb    
29                   0          Ejecución              Terminado              10         —               161 Kb    
30                   6          Listo                  Despachado             9          —               71 Kb     
31                   8          Listo                  Despachado             5          —               162 Kb    
28                   1          Bloqueado              Bloqueado              5          —               117 Kb    
28                   1          Bloqueado              Bloqueado              5          —               117 Kb    
28                   1          Bloqueado              Bloqueado              5          —               117 Kb    
28                   1          Bloqueado              Suspendido-bloqueado   5          —               117 Kb    
21                   4          Bloqueado              Bloqueado              4          —               88 Kb     
21                   4          Bloqueado              Suspendido-bloqueado   4          —               88 Kb     
26                   5          Ejecución              Vuelve a cola          1          Op. matemática  132 Kb    
32                   10         Listo                  Despachado             2          —               109 Kb    
29                   0          Ejecución              Terminado              10         —               161 Kb    
27                   10         Bloqueado              Bloqueado              8          —               119 Kb    
27                   10         Bloqueado              Bloqueado              8          —               119 Kb    
27                   10         Bloqueado              Bloqueado              8          —               119 Kb    
27                   10         Bloqueado              Suspendido-bloqueado   8          —               119 Kb    
30                   1          Ejecución              Bloqueado              9          Impresora       71 Kb     
31                   3          Ejecución              Vuelve a cola          5          Op. matemática  162 Kb    
33                   14         Listo                  Despachado             9          —               75 Kb     
32                   5          Ejecución              Vuelve a cola          2          Op. matemática  109 Kb    
30                   1          Bloqueado              Bloqueado              9          —               71 Kb     
30                   1          Bloqueado              Despertar              9          —               71 Kb     
28                   1          Suspendido-bloqueado   Suspendido-bloqueado   5          —               117 Kb    
28                   1          Suspendido-bloqueado   Suspendido-listo       5          —               117 Kb    
26                   5          Listo                  Despachado             1          —               132 Kb    
33                   9          Ejecución              Vuelve a cola          9          Op. matemática  75 Kb     
21                   4          Suspendido-bloqueado   Suspendido-bloqueado   4          —               88 Kb     
21                   4          Suspendido-bloqueado   Bloqueado              4          —               88 Kb     
27                   10         Suspendido-bloqueado   Suspendido-bloqueado   8          —               119 Kb    
27                   10         Suspendido-bloqueado   Suspendido-listo       8          —               119 Kb    
31                   3          Listo                  Despachado             5          —               162 Kb    
28                   1          Suspendido-Listo       Formado                5          —               117 Kb    
26                   0          Ejecución              Terminado              1          —               132 Kb    
31                   0          Ejecución              Terminado              5          —               162 Kb    
27                   10         Suspendido-Listo       Formado                8          —               119 Kb    
30                   1          Listo                  Despachado             9          —               71 Kb     
26                   0          Ejecución              Terminado              1          —               132 Kb    
21                   4          Bloqueado              Bloqueado              4          —               88 Kb     
21                   4          Bloqueado              Bloqueado              4          —               88 Kb     
21                   4          Bloqueado              Bloqueado              4          —               88 Kb     
21                   4          Bloqueado              Despertar              4          —               88 Kb     
28                   1          Listo                  Despachado             5          —               117 Kb    
32                   5          Listo                  Despachado             2          —               109 Kb    
31                   0          Ejecución              Terminado              5          —               162 Kb    
30                   0          Ejecución              Terminado              9          —               71 Kb     
27                   10         Listo                  Despachado             8          —               119 Kb    
28                   0          Ejecución              Terminado              5          —               117 Kb    
32                   0          Ejecución              Terminado              2          —               109 Kb    
30                   0          Ejecución              Terminado              9          —               71 Kb     
21                   4          Listo                  Despachado             4          —               88 Kb     
27                   5          Ejecución              Bloqueado              8          Bocinas         119 Kb    
33                   9          Listo                  Despachado             9          —               75 Kb     
32                   0          Ejecución              Terminado              2          —               109 Kb    
28                   0          Ejecución              Terminado              5          —               117 Kb    
21                   0          Ejecución              Terminado              4          —               88 Kb     
34                   3          Listo                  Despachado             3          —               124 Kb    
27                   5          Bloqueado              Bloqueado              8          —               119 Kb    
27                   5          Bloqueado              Bloqueado              8          —               119 Kb    
27                   5          Bloqueado              Bloqueado              8          —               119 Kb    
27                   5          Bloqueado              Bloqueado              8          —               119 Kb    
27                   5          Bloqueado              Bloqueado              8          —               119 Kb    
27                   5          Bloqueado              Bloqueado              8          —               119 Kb    
27                   5          Bloqueado              Bloqueado              8          —               119 Kb    
27                   5          Bloqueado              Bloqueado              8          —               119 Kb    
27                   5          Bloqueado              Bloqueado              8          —               119 Kb    
27                   5          Bloqueado              Bloqueado              8          —               119 Kb    
27                   5          Bloqueado              Bloqueado              8          —               119 Kb    
27                   5          Bloqueado              Bloqueado              8          —               119 Kb    
27                   5          Bloqueado              Bloqueado              8          —               119 Kb    
27                   5          Bloqueado              Bloqueado              8          —               119 Kb    
27                   5          Bloqueado              Bloqueado              8          —               119 Kb    
27                   5          Bloqueado              Bloqueado              8          —               119 Kb    
27                   5          Bloqueado              Bloqueado              8          —               119 Kb    
27                   5          Bloqueado              Despertar              8          —               119 Kb    
33                   4          Ejecución              Vuelve a cola          9          Op. matemática  75 Kb     
35                   8          Listo                  Despachado             7          —               62 Kb     
34                   0          Ejecución              Terminado              3          —               124 Kb    
21                   0          Ejecución              Terminado              4          —               88 Kb     
36                   12         Listo                  Despachado             5          —               97 Kb     
35                   3          Ejecución              Vuelve a cola          7          Op. matemática  62 Kb     
34                   0          Ejecución              Terminado              3          —               124 Kb    
36                   7          Ejecución              Vuelve a cola          5          Op. matemática  97 Kb     
27                   5          Listo                  Despachado             8          —               119 Kb    
33                   4          Listo                  Despachado             9          —               75 Kb     
