══════════════════════════════════════════════════════════════════════════════════════════
  SIMULACIÓN SO  –  2026/07/05 21:04:01
══════════════════════════════════════════════════════════════════════════════════════════
PROCESO              CUANTUM    ESTADO                 TRANSICIÓN             PRIORIDAD  RECURSO         MEMORIA   
10                   0          Ejecución              Terminado              6          —               28 Kb     
15                   6          Listo                  Despachado             3          —               96 Kb     
12                   0          Ejecución              Terminado              1          —               87 Kb     
14                   0          Ejecución              Terminado              5          —               62 Kb     
16                   10         Ejecución              Vuelve a cola          10         Op. matemática  10 Kb     
9                    4          Suspendido-Listo       Formado                7          —               37 Kb     
17                   11         Listo                  Despachado             1          —               36 Kb     
10                   0          Ejecución              Terminado              6          —               28 Kb     
15                   1          Ejecución              Bloqueado              3          Impresora       96 Kb     
12                   0          Ejecución              Terminado              1          —               87 Kb     
14                   0          Ejecución              Terminado              5          —               62 Kb     
17                   6          Ejecución              Bloqueado              1          Ratón           36 Kb     
15                   1          Bloqueado              Bloqueado              3          —               96 Kb     
15                   1          Bloqueado              Bloqueado              3          —               96 Kb     
15                   1          Bloqueado              Bloqueado              3          —               96 Kb     
15                   1          Bloqueado              Suspendido-bloqueado   3          —               96 Kb     
9                    4          Listo                  Despachado             7          —               37 Kb     
16                   10         Listo                  Despachado             10         —               10 Kb     
18                   5          Listo                  Despachado             9          —               12 Kb     
17                   6          Bloqueado              Bloqueado              1          —               36 Kb     
17                   6          Bloqueado              Suspendido-bloqueado   1          —               36 Kb     
9                    0          Ejecución              Terminado              7          —               37 Kb     
19                   2          Listo                  Despachado             10         —               32 Kb     
16                   5          Ejecución              Bloqueado              10         Monitor         10 Kb     
18                   0          Ejecución              Terminado              9          —               12 Kb     
20                   11         Listo                  Despachado             10         —               73 Kb     
15                   1          Suspendido-bloqueado   Suspendido-bloqueado   3          —               96 Kb     
15                   1          Suspendido-bloqueado   Bloqueado              3          —               96 Kb     
19                   0          Ejecución              Terminado              10         —               32 Kb     
9                    0          Ejecución              Terminado              7          —               37 Kb     
16                   5          Bloqueado              Bloqueado              10         —               10 Kb     
16                   5          Bloqueado              Bloqueado              10         —               10 Kb     
16                   5          Bloqueado              Bloqueado              10         —               10 Kb     
16                   5          Bloqueado              Bloqueado              10         —               10 Kb     
16                   5          Bloqueado              Bloqueado              10         —               10 Kb     
16                   5          Bloqueado              Bloqueado              10         —               10 Kb     
16                   5          Bloqueado              Bloqueado              10         —               10 Kb     
16                   5          Bloqueado              Suspendido-bloqueado   10         —               10 Kb     
18                   0          Ejecución              Terminado              9          —               12 Kb     
17                   6          Suspendido-bloqueado   Suspendido-bloqueado   1          —               36 Kb     
17                   6          Suspendido-bloqueado   Bloqueado              1          —               36 Kb     
20                   6          Ejecución              Vuelve a cola          10         Op. matemática  73 Kb     
19                   0          Ejecución              Terminado              10         —               32 Kb     
15                   1          Bloqueado              Bloqueado              3          —               96 Kb     
15                   1          Bloqueado              Suspendido-bloqueado   3          —               96 Kb     
20                   6          Listo                  Despachado             10         —               73 Kb     
16                   5          Suspendido-bloqueado   Suspendido-bloqueado   10         —               10 Kb     
16                   5          Suspendido-bloqueado   Bloqueado              10         —               10 Kb     
17                   6          Bloqueado              Bloqueado              1          —               36 Kb     
17                   6          Bloqueado              Bloqueado              1          —               36 Kb     
17                   6          Bloqueado              Bloqueado              1          —               36 Kb     
17                   6          Bloqueado              Despertar              1          —               36 Kb     
20                   1          Ejecución              Bloqueado              10         Bocinas         73 Kb     
15                   1          Suspendido-bloqueado   Suspendido-bloqueado   3          —               96 Kb     
15                   1          Suspendido-bloqueado   Suspendido-listo       3          —               96 Kb     
20                   1          Bloqueado              Bloqueado              10         —               73 Kb     
20                   1          Bloqueado              Bloqueado              10         —               73 Kb     
20                   1          Bloqueado              Bloqueado              10         —               73 Kb     
20                   1          Bloqueado              Bloqueado              10         —               73 Kb     
20                   1          Bloqueado              Bloqueado              10         —               73 Kb     
20                   1          Bloqueado              Despertar              10         —               73 Kb     
16                   5          Bloqueado              Bloqueado              10         —               10 Kb     
16                   5          Bloqueado              Suspendido-bloqueado   10         —               10 Kb     
17                   6          Listo                  Despachado             1          —               36 Kb     
15                   1          Suspendido-Listo       Formado                3          —               96 Kb     
17                   1          Ejecución              Vuelve a cola          1          Op. matemática  36 Kb     
16                   5          Suspendido-bloqueado   Suspendido-bloqueado   10         —               10 Kb     
16                   5          Suspendido-bloqueado   Bloqueado              10         —               10 Kb     
15                   1          Listo                  Despachado             3          —               96 Kb     
17                   1          Listo                  Despachado             1          —               36 Kb     
15                   0          Ejecución              Terminado              3          —               96 Kb     
20                   1          Listo                  Despachado             10         —               73 Kb     
17                   0          Ejecución              Terminado              1          —               36 Kb     
16                   5          Bloqueado              Bloqueado              10         —               10 Kb     
16                   5          Bloqueado              Bloqueado              10         —               10 Kb     
16                   5          Bloqueado              Bloqueado              10         —               10 Kb     
16                   5          Bloqueado              Bloqueado              10         —               10 Kb     
16                   5          Bloqueado              Bloqueado              10         —               10 Kb     
16                   5          Bloqueado              Bloqueado              10         —               10 Kb     
16                   5          Bloqueado              Bloqueado              10         —               10 Kb     
16                   5          Bloqueado              Despertar              10         —               10 Kb     
20                   0          Ejecución              Terminado              10         —               73 Kb     
15                   0          Ejecución              Terminado              3          —               96 Kb     
17                   0          Ejecución              Terminado              1          —               36 Kb     
20                   0          Ejecución              Terminado              10         —               73 Kb     
16                   5          Listo                  Despachado             10         —               10 Kb     
16                   0          Ejecución              Terminado              10         —               10 Kb     
16                   0          Ejecución              Terminado              10         —               10 Kb     
